Order ID,Order Date,Account Manager,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,Sales,Units Sold,Discount,Profit,Year,Month,Quarter
EMEA-2022-152156,09-11-2022,Nathan Bell,Ireland,Dublin,EMEA,UKIR,Chevron,1017,Energy,SMB,Marketing Suite,261.96,2,0,41.9136,2022,11,4
AMER-2022-138688,13-06-2022,Deirdre Bailey,United States,New York City,AMER,NAMER,Phillips 66,1056,Energy,Strategic,FinanceHub,14.62,2,0,6.8714,2022,6,2
EMEA-2021-108966,11-10-2021,Zoe Hodges,Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,1031,Energy,SMB,Marketing Suite - Gold,22.368,2,0.2,2.5164,2021,10,4
AMER-2020-115812,09-06-2020,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,SaaS Connector Pack,48.86,7,0,14.1694,2020,6,2
AMER-2020-115812,09-06-2020,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,ChatBot Plugin,7.28,4,0,1.9656,2020,6,2
AMER-2020-115812,09-06-2020,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,ContactMatcher,18.504,3,0.2,5.7825,2020,6,2
AMER-2020-115812,09-06-2020,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,OneView,114.9,5,0,34.47,2020,6,2
EMEA-2023-114412,16-04-2023,Adrian Hunter,Sweden,Stockholm,EMEA,NOR,Engie,1062,Energy,SMB,Support,15.552,3,0.2,5.4432,2023,4,2
EMEA-2020-167164,13-05-2020,Carol Campbell,Turkey,Ankara,EMEA,MEA,Home Depot,1047,Retail,SMB,Marketing Suite - Gold,55.5,2,0,9.99,2020,5,2
AMER-2020-143336,27-08-2020,Blake Hughes,United States,Los Angeles,AMER,NAMER,Wells Fargo,1099,Finance,SMB,ChatBot Plugin,8.56,2,0,2.4824,2020,8,3
AMER-2020-143336,27-08-2020,Blake Hughes,United States,Los Angeles,AMER,NAMER,Wells Fargo,1099,Finance,SMB,Site Analytics,213.48,3,0.2,16.011,2020,8,3
